la zona	area (not "el área")
asustar	to frighten, to scare (not espantar)
obedecer	to obey
el macho	male (m...)
mecánico	mechanical
el mandatario	leader, head of state (not dirigente, gobernante, or líder)
Hugo	Hugo
severo	severe
motivar	to motivate
asociado	associate, associated
el conde	count (nobleman), earl
estrenar	to use for the first time, to premiere
el fundador	founder
paralelo	parallel
noventa	ninety
fantástico	fantastic
el agujero	hole (not "el hueco" or "el hoyo")
agrario	agricultural, agrarian (not agrícola)
cuadrado	square, checkered
el contraste	contrast
elemental	elementary
adicional	additional
hola	hello
je	he
la ingeniería	engineering
el privilegio	privilege
Polonia	Poland
reiterar	to reiterate
nacionalista	nationalist
el niño	child (boy)
mágico	magical
el indígena	native (person) (i..)
suelto	loose (not "flojo"), free, flyaway (not libre)
la cordillera	mountain range (not sierra)
financiar	to finance
la fusión	fusion
la autonomía	autonomy
el superior	superior
la síntesis	synthesis
la sinfonía	symphony
el pasajero	passenger
el cierre	closing, shutting (not clausura)
chico	small (c...)
el recorrido	journey, trip (not trayecto or viaje); tour
la trayectoria	trajectory
vecino	neighboring
el tesoro	treasure
pisar	to step on (not caminar)
peruano	peruvian
disolver	to dissolve
corriente	common (...e)
el varón	male (v...)
acoger	to take in
descartar	to discard
la dieta	diet
el costado	side (not "el lado" or "la vera")
la estadística	statistic
estricto	strict (e)
la sensibilidad	sensitivity
solucionar	to solve (not resolver)
el legislador	legislator
captar	to capture (not capturar)
el ruso	Russian (person)
la prosa	prose
la locura	madness
el complejo	complex
el aficionado	fan, admirer, enthusiast, amateur
temporal	temporary (not "temporario")
la tranquilidad	peacefulness, tranquility
aparentemente	apparently (a.., not "al parecer")
arquitectónico	architectural
la circulación	circulation
fortalecer	to strengthen, to fortify
corregir	to correct
lógico	logical
protestar	to protest
naval	naval
la editorial	publishing house, publishing company
abstraer	to abstract
el turista	tourist
la traducción	translation
adiós	goodbye
el bienestar	well-being
el desempleo	unemployment (not "el paro")
la novedad	innovation, novelty (not innovación)
el rendimiento	rendition, performance (not actuación)
dominicano	dominican
la boda	wedding
el anillo	ring
el tanto	point, goal, certain amount (not gol or meta)
la bacteria	bacteria, germ
la concesión	concession
contenido	self-controlled, restrained
el romano	Roman (person)
plano	flat, plane (not llano)
el jurado	jury
la densidad	density
el canciller	chancellor
la cartera	wallet (not "la billetera")
la comparación	comparison
clavar	to hammer
fácilmente	easily
la petición	request (p..)
la publicidad	advertising, publicity
el préstamo	loan
el intérprete	interpreter
imitar	to imitate
Elena	Helen
la depresión	depression
la exigencia	demand (not demanda)
fracasar	to fail (not fallar)
estético	aesthetic
la especialidad	specialty
la audiencia	audience (not auditorio)
el grano	grain
Irlanda	Ireland
olímpico	olympic
el vendedor	vendor, salesman, stallholder
oculto	hidden (not escondido)
el gerente	manager (not directivo)
bañar	to bathe
la barrera	barrier
ideal	ideal
infinito	infinite
Pablo	Paul
sumamente	extremely (not extremadamente)
la sentencia	sentence (legal, not "la condena"), ruling, maxim
sensible	sensitive
el sueldo	salary (not salario)
la rebelión	rebellion
la orientación	orientation
impresionante	impressive, amazing (not "imponente")
luminoso	luminous
flotar	to float
forestal	forested, foresteal
la emergencia	emergency
la cosecha	harvest
diferenciar	to differentiate
la guerrilla	guerrilla force
el usuario	user
integrante	integral, integrating
multiplicar	to multiply
el sudor	sweat
la polémica	polemic, controversy
el realismo	realism
la melodía	melody
el asesor	advisor
el uniforme	uniform
trece	thirteen
la afirmación	affirmation
la candidatura	candidacy, candidature
mero	mere
Jorge	George
proseguir	to prosecute, to pursue, to continue (p...)
el pendiente	pendant, earring, unresolved matter
la sucesión	succession
solitario	solitary
agrupar	to group
la asistencia	assistance
fluir	to flow
la vanguardia	vanguard, the avant-garde
ahorita	right now (not "ahora mismo"); any minute now
administrar	to administer
Ruiz	Ruiz
la promoción	promotion
la matemática	mathematics (singular form)
el clásico	classic
la descripción	description
el corto	a short person or thing
criar	to raise, to breed (animals)
la dignidad	dignity
la fachada	facade
acomodar	to accommodate; to seat; to put; to adapt (not adaptar)
el fantasma	ghost
el enfoque	focus (not "el foco"), approach
la limitación	limitation
responsable	responsible
veinticinco	twenty-five
el convenio	agreement (c..)
la desaparición	disappearance
asentar	to settle down
la conexión	connection
la broma	joke (not chiste)
el cable	wire (not "el alambre")
la solidaridad	solidarity
sobrar	to be left over, to remain
la rapidez	speed, rapidity
el esclavo	slave
ultimar	to finalize (not finalizar)
escolar	school, scholastic
reforzar	to reinforce
la miseria	misery
el mantenimiento	maintenance
el griego	Greek (person, language)
el emisor	transmitter (radio/TV, not "el transmisor" or "la emisora"); issuer (finance); spokesperson
la comprensión	understanding, comprehension (not "el entendimiento")
territorial	territorial
el trozo	piece, fragment, section (t...)
dominante	dominant
regir	to govern, to rule (not gobernar)
el reflejo	reflection (image) (not reflexión)
la gravedad	gravity (physical force); gravity (seriousness)
la gota	drop
estable	stable
la armonía	harmony
la tormenta	storm
excepcional	exceptional
el plomo	lead (element)
impresionar	to impress
la convocatoria	notification (not "la notificación"); summons (legal)
la vegetación	vegetation
la violación	violation
vigilar	to watch over (not velar)
la dictadura	dictatorship
la biblia	bible
la interacción	interaction
el odio	hate, hatred
remoto	remote, distant (r...)
brasileño	Brazilian
la cena	dinner
la duración	duration
frenar	to brake (to slow down, to stop)
la estatua	statue
la estimación	estimation
el buque	ship, vessel, boat (b... not barco)
el bailarín	dancer
Teresa	Theresa
turístico	tourist (Adj.)
la mejilla	cheek
el archivo	file, archive; filing cabinet
elegante	elegant
el derivado	derivative
costero	coastal
la lesión	injury (not "la herida")
optar	to opt
la joya	jewel, piece of jewelry
el dispositivo	device, mechanism (not mecanismo)
desesperado	desperate
estructural	structural
la barba	beard
el comerciante	dealer, storekeeper, merchant
el almacén	warehouse
la eficacia	efficiency (not "la eficiencia"), effectiveness, efficacy
el músculo	muscle
la maravilla	wonder
la reproducción	reproduction
la respiración	breathing
el rosario	rosary
el plástico	plastic
la muñeca	doll, wrist
el japonés	the Japanese language
la crónica	chronicle, report (not informe, reporte, noticia or reportaje)
el defecto	defect, flaw
continental	continental
el descanso	rest, relaxation
la proyección	projection
sospechar	to suspect
el tercio	the third (fraction)
Sebastián	Sebastian
la hierba	grass, herb
odiar	to hate
la precipitación	precipitation, rain, rush
estratégico	strategic
contigo	with you (informal, singular)
la decoración	decoration
el violín	violin
el argentino	Argentinian (person)
Sofía	Sophia
la grasa	fat
Raúl	Raul
el colaborador	collaborator
la convicción	conviction (re. belief)
costarricense	Costa Rican
la ruina	ruin
la lógica	logic
marítimo	maritime
Mendoza	Mendoza
el pariente	relative (p...)
el entrenador	coach (of an athletic team)
la expectativa	expectation
el casco	helmet
el antecedente	antecedent, precedent
acelerar	to accelerate
clínico	clinical
la ejecución	execution
la embajada	embassy
personalmente	personally
la prisa	hurry
el requisito	requisite, requirement
el algodón	cotton
la vaca	cow
la confederación	confederation
dieciocho	eighteen
Alfredo	Alfred
la rabia	anger, rage (r..); rabies
la lección	lesson
juvenil	young (not joven)
la media	average, stocking, tights (Noun) (not "el promedio")
el llanto	crying (not "el lloro")
Napoleón	Napoleon
Ramírez	Ramirez
el pozo	well, shaft
oscilar	to swing, fluctuate
Suecia	Sweden
el cuero	leather
exclamar	to exclaim
albergar	to house, to host
centroamericano	Central American
el obstáculo	obstacle
dirigente	leading, ruling
el genio	temper, genius
el musulmán	Muslim
la ronda	round
el fiel	the faithful one
deslizar	to slip, to slide (not "resbalar")
el centímetro	centimeter
complicado	complicated
la cortina	curtain
el respaldo	back (of a chair, e.g.)
el revés	reverse, setback
el recinto	enclosure, grounds, premises (not "el local")
la plataforma	platform (p..)
platicar	to talk, chat, tell (Lat Am) (p..)
el rango	rank, standing, status
programar	to schedule, to program, to plan
el cuchillo	knife
el comedor	dining room
el cartel	poster (not "el póster")
aquél	that one (over there) (masc. short)
el tránsito	transit, traffic (not tráfico)
el testamento	last will, testament
cuestionar	to question (cast doubt)
fomentar	to promote, to foment
chocar	to shock, crash, clash
picar	to sting, to bite  (by an insect)
la navegación	navigation
Gutiérrez	Gutierrez
el horror	horror
holandés	Dutch
el hábito	habit (not "la costumbre")
concretamente	concretely; specifically; exactly
la cancha	court (sports)
disponible	available
el duque	duke
detallar	to detail
la cualidad	quality (inherent characteristic)
forzar	to force
la hormona	hormone
el pulmón	lung
la subasta	auction
el sello	stamp (Sp.) (not "la estampilla")
el rito	rite, ritual
el hueco	hole (not "el agujero" or "el hoyo"), hollow
el manuscrito	manuscript
la calma	calm
colorado	red (not "rojo")
la adaptación	adaptation
Ricardo	Richard
el sobrino	nephew
molecular	molecular
capital	capital
el barro	mud (not "el lodo")
evaluar	to evaluate
la contribución	contribution (not aporte or aportación)
el culpable	guilty party, guilty, culprit (not "el responsable")
la máscara	mask (not careta)
sembrar	to sow, to plant, to scatter
retornar	to return (not devolver, volver or regresar)
psicológico	psychological
novecientos	nine hundred
oral	oral
la laguna	lagoon
Irak	Iraq
denso	dense
atribuir	to attribute
teórico	theoretical
la agenda	agenda; appointment book
el escudo	shield
el nervio	nerve
inmóvil	immobile, still
Escocia	Scotland
empresarial	entrepreneurial
el gallo	rooster
atómico	atomic
brotar	to sprout, to appear, to bud
la utilidad	utility
el afán	eagerness, zeal (not celo)
Cristina	Christina
la disputa	dispute
la infraestructura	infrastructure
el paro	strike (not huelga); unemployment (Sp.)
inteligente	intelligent
mentir	to lie, deceive
el escritorio	desk
la flota	fleet, crowd (Lat. Am.)
la cuota	quota, fee, share
el aliento	breath
la paloma	dove, pigeon
el piloto	pilot
seguir	to follow, to continue (s...)
Uruguay	Uruguay
provincial	provincial
amable	kind
la altitud	altitude
la barra	bar (of chocolate)
apostar	to bet
el brillo	brightness, shine (not resplandor)
caro	expensive
la corteza	crust, bark (of tree)
la desesperación	desperation
la esfera	sphere
el asentamiento	settlement
alegrar	to make happy
la paciencia	patience
sorprendente	surprising
rubio	blonde
el noroeste	northwest
el viajero	traveler
horrible	horrible
la solicitud	request, application (s..)
cómodo	comfortable
Gabriela	Gabriela
deshacer	to undo
la cría	baby animal, breeding
ja	ha
el almuerzo	lunch
ajustar	to adjust
avisar	to warn (not advertir)
el trigo	wheat
Alonso	Alonso
la ciudadanía	citizenship
doscientos	two hundred, 200
egipcio	egyptian
explorar	to explore
el estímulo	stimulus
la inspiración	inspiration
ojalá	hopefully, I hope; if only
maldecir	to curse
la sanción	sanction
el residente	resident
el supuesto	supposition, assumption (not asunción or suposición)
el horno	oven
la falda	skirt
el desorden	disorder (not "el trastorno" or "el desconcierto")
vigente	valid (not válido)
verbal	verbal
vasto	vast
tragar	to swallow
el fármaco	drug, medicine (f..)
el fresco	fresh air
el mamífero	mammal
petrolero	of or related to oil (e.g., oil company)
la marina	navy (not armada)
guiar	to guide
la lámpara	lamp
la galaxia	galaxy
la alimentación	food, diet (not alimento, comida or dieta)
la uña	fingernail, toenail
el acento	accent
atractivo	attractive
barroco	baroque
la elaboración	making, production (not fabricación or producción)
contraer	to contract (e.g. disease); to shrink, abbreviate
Arturo	Arthur
el medicamento	medicine, drug (not medicina, droga or farmaco)
anaranjado	orange; orange colored
la minoría	minority
necesariamente	necessarily
el otoño	autumn
Suárez	Suarez
el azul	blue color
Agustín	Augustine
feo	ugly
convencional	conventional
el arroyo	stream, brook (not rivera)
Bélgica	Belgium
Siria	Syria
presionar	to press (not apretar)
la nieve	snow
la magnitud	magnitude
el hidrógeno	hydrogen
el heredero	heir
el mínimo	minimum
presunto	presumed, supposed, alleged (not supuesto)
la sábana	bedsheet, sheet
rodar	to roll
Jiménez	Jimenez
el correo	mail
doloroso	painful
el descenso	descent
entrever	to glimpse, to catch sight of (not "vislumbrar")
el hallazgo	find
mediterráneo	Mediterranean
el suroeste	southwest
mediano	medium
la narración	narration
la lástima	pity, shame (l)
inevitable	inevitable
editar	to edit
conveniente	convenient
el balón	ball (not pelota or bola)
la capilla	chapel
la coca	coca  (cocaine plant)
la persecución	persecution
trazar	to trace
el pecado	sin
la renta	income, rent (not alquiler)
gigantesco	gigantic (not "gigante")
el giro	turn (not vuelta or turno)
el mérito	merit
el contemporáneo	contemporary
constantemente	constantly
la curva	curve
desviar	to divert
la fracción	fraction
la cintura	waist
la che	letter ch
el amanecer	dawn (not alba, aurora, or madrugada)
la hectárea	hectare
el prisionero	prisoner (not preso)
ideológico	ideological
la madurez	maturity
la aspiración	aspiration
el trastorno	disorder (not "desorden" or "el desconcierto")
el teniente	lieutenant
Tegucigalpa	Tegucigalpa
la ficción	fiction
el enfermero	nurse
el espectro	spectrum (not "la gama")
el diagnóstico	diagnosis
la debilidad	debility, weakness
Corea	Korea
la moral	moral (Noun), morals; morale
oficialmente	officially
el natural	nature (not naturaleza)
humilde	humble
el helado	ice cream
el intermedio	intermission
la invitación	invitation
rescatar	to rescue
el sida	AIDS
encendido	turned on (e.g., a light) (not "iluminado")
aguardar	to wait for, await, expect (not esperar)
el adolescente	adolescent, teenager
ciertamente	certainly (not seguramente)
el choque	crash, shock, conflict
el ahorro	saving
el norteamericano	North American (person)
rígido	rigid
la psicología	psychology
el paraíso	paradise
el condado	county
el comunista	comunist
la confusión	confusion
blando	soft (not "suave"), weak, lenient
anticipar	to anticipate, to advance (not avanzar)
la nobleza	nobility
ibérico	Iberian
el lanzamiento	launch, throwing
el kilo	kilogram (shorter form)
singular	singular
la ternura	tenderness, endearment
tomar	to take, to have (something to eat or to drink)
saber	to know (facts)
la lana	wool
aparente	apparent
la fortaleza	strength, fortress (not fuerza)
la cúpula	dome
castellano	Castilian
interesado	interested, selfish (not egoísta)
el túnel	tunnel
el islam	islam
el horario	schedule, timetable, hours
el remedio	remedy; medicine (Lat Am)
el calderón	large caldron
arqueológico	archaeological
la delegación	delegation
ejemplar	exemplary
el cementerio	cemetery
el celo	zeal (not afán)
la ideología	ideology
iluminar	to illuminate, to light (not alumbrar or encender)
el licenciado	graduate (l..)
el infierno	hell
suficientemente	sufficiently
el queso	cheese
Centroamérica	Central America
el discípulo	disciple
el desafío	challenge (not reto)
la tinta	ink
elaborado	elaborate
la captura	capture
básicamente	basically
el asalto	assault, holdup
la asunción	assumption, supposition (not suposición or supuesto)
la química	chemistry
resaltar	to highlight, to stand out (r...)
salvaje	savage
el polo	pole
el liberal	liberal
andino	Andean
la biología	biology
enseguida	immediately, at once (not inmediatamente)
el fotógrafo	photographer
la falla	flaw
catalán	Catalonian
el saco	sack, jacket
la evaluación	evaluation
educar	to educate; to bring up
el cristianismo	Christianity
culto	cultured, educated (not educado)
el cumplimiento	fulfillment
espeso	thick (liquids, forest) (e..)
enriquecer	to enrich
el abuso	abuse
inútil	useless
Laura	Laura
Enrique	Henry
vengar	to avenge
el vigor	vigor
el manifiesto	manifesto
la regulación	regulation
la renovación	renovation
el real	real (Brazil. currency); penny
el centenar	hundred (not cien or ciento)
la diversidad	diversity
el editor	editor (not redactor)
la exploración	exploration
cívico	civic
el ratón	mouse
la ofensiva	offensive, attack
la modalidad	modality
el vínculo	tie, link (not enlace)
el juguete	toy
Pakistán	Pakistan
retener	to retain
abandonado	abandoned
el comisario	commissioner, captain (not capitán)
demandar	to demand, to sue (not exigir or requerir)
el retorno	return (not vuelta or regreso)
heredar	to inherit
vertical	vertical
trágico	tragic
redactar	to write (not escribir); to edit
el sufrimiento	suffering
la clínica	clinic
el bolívar	bolivar (Venezuelan currency)
ahogar	to drown
la alfombra	carpet (not  "la moqueta" or "el tapete")
el americano	American (not gringo)
el administrador	administrator
el cemento	cement
la pausa	pause (not silencio or descanso)
la igualdad	equality
el hongo	fungus; mushroom, toadstool
el monasterio	monastery
el lecho	bed (of river/plants) (l..)
Hungría	Hungary
inaudible	inaudible
el globo	balloon, globe
suizo	Swiss
Sidney	Sidney
el seminario	seminary
desgraciadamente	unfortunately (not "desafortunadamente")
atento	attentive; courteous
apropiado	suitable, appropriate (a.., not "apto")
el escrito	document (not documento)
la revisión	revision
reinar	to reign
quebrar	to snap
el mármol	marble
gráfico	graphic
la percepción	perception
reconstruir	to reconstruct
el aroma	scent, aroma
la afición	hobby
el lazo	bow, knot, loop (not "el nudo")
la zarzuela	spanish operetta
la gobernación	government, governing (not "el gobierno")
mudo	mute
campesino	rural (c)
curar	to heal, to cure
la anécdota	anecdote
el residuo	remainder; residue
el redactor	editor (not editor)
planear	to plan (not planificar)
leve	slight; light (not ligero or liviano)
el lleno	sellout
interminable	interminable
el ladrillo	brick
lógicamente	logically
el olvido	oblivion; forgetfulness
remontar	to overcome (not superar); to go up
restaurar	to restore (not restablecer)
la adquisición	acquisition
la aceptación	acceptance
célebre	famous (c...)
el católico	catholic
la cubierta	cover
el delegado	delegate
el diccionario	dictionary
el economista	economist
las finanzas	finances
celebrado	celebrated
acentuar	to emphasize, to stress (a...)
el pastor	shepherd
propiciar	to favor (not favorecer)
posar	to pose, to place, to lay
la simpatía	friendliness
abundar	to abound
atlántico	atlantic
estirar	to stretch
exclusivo	exclusive
el cansancio	tiredness
preceder	to precede
ordinario	ordinary
triunfar	to triumph
morder	to bite
la mosca	fly
matemático	mathematical
horizontal	horizontal
la penumbra	half-light
septentrional	northern
relatar	to relate, tell [a story or a tale]
el activo	asset (financial)
la fauna	fauna
desplegar	to unfold, spread, unfurl
el abc	abc
argumentar	to argue (not discutir)
el cañón	cannon
la ceniza	ash (from burning)
inscribir	to inscribe
el ritual	ritual
la ruptura	break-up
el disparo	shot (not tiro)
válido	valid (not vigente)
la teología	theology
yugoslavia	yugoslavia
la determinación	determination
extrañar	to miss, to surprise (not sorprender)
cerebral	cerebral
la basura	garbage
el acorde	chord
el robo	robbery
Suiza	Switzerland
inducir	to induce
el liderazgo	leadership
monumental	monumental
el novelista	novelist
reponer	to replace (not reemplazar)
el perfume	perfume
álvarez	alvarez
el fallo	mistake (not "la equivocación"); ruling (legal)
el curioso	onlooker, bystander; busybody
damián	damian
el cajón	drawer
la inundación	flood
loco	crazy
el magistrado	judge (not juez); magistrate
marcelo	marcel
la mercancía	goods, merchandise
portar	to carry (not "llevar")
el oso	bear
la restricción	restriction
subterráneo	underground
sexto	sixth
alargarse	to get longer
aplastar	to crush, squash, swat (a...)
el foro	forum
el volcán	volcano
tapar	to cover, to cover up, to conceal (t..)
el tumor	tumor
la disolución	dissolution
arder	to burn, sting (a..)
el saludo	greeting; wave (with hand)
luisa	louisa
joder	to screw (sexual)
roto	broken
el sanitario	health worker
la pelea	fight (not lucha)
el cuartel	quarter (mil.), barracks
la fuga	escape (not "el escape")
templado	lukewarm (food), temperate (climate)
vuestro	your (v.., referring to singular object)
el asistente	assistant (not ayudante)
la popularidad	popularity
predominar	to predominate
el ramo	bunch, bouquet
reflexionar	to reflect (think)
almacenar	to store
el cubierto	piece of cutlery
el taxi	taxi
cruel	cruel
autorizar	to authorize
el aplauso	applause
sobresalir	to stand out (s..)
la rata	rat
núñez	nuñez
ligeramente	slightly (not "levemente")
realista	realistic
el restaurante	restaurant
el aporte	contribution (not aportación or contribución)
la contienda	argument, dispute; conflict, battle; (sporting) match [c...]
desagradable	unpleasant, disagreeable
el extraño	stranger (not desconocido)
el autobús	bus
la bóveda	vault; dome (ceiling)
el centavo	cent (not "el céntimo")
el chiste	joke (not broma)
restablecer	to restore (not restaurar); to reestablish
pescar	to fish
el trámite	procedure (not procedimiento)
urgente	urgent
tornar	to turn (to restore)
el noreste	northeast
indispensable	indispensable
beethoven	beethoven
la campana	bell (not timbre)
florecer	to flower
dramático	dramatic
Dinamarca	Denmark
espléndido	splendid
la certeza	certainty
el colombiano	Colombian (person)
la colina	hill (not cerro)
el aspirante	applicant
la mariposa	butterfly
relevante	outstanding, important; relevant (r...)
tibio	lukewarm, tepid
la vigilancia	surveillance
retroceder	to go back, to reverse, to back up
el fraude	fraud
Gabriel	Gabriel
experimental	experimental
el filo	blade, cutting edge
el deterioro	deterioration
la embarcación	boat, vessel (e...)
el delincuente	criminal (not "el criminal"); delinquent
agresivo	aggressive
el precedente	precedent
la meseta	plateau
térmico	thermal, thermic
la lata	can, tin (not bote)
potente	powerful, potent
simbólico	symbolic
adornar	to adorn
asombrar	to amaze, to astonish
diminuto	tiny (d..)
complementar	to complement
el rigor	rigor
portugués	Portuguese
quieto	quiet, still (q...)
el observador	observer
la urgencia	urgency
la nostalgia	nostalgia
inesperado	unexpected
rogar	to beg (not "suplicar"); to pray
sanguíneo	blood (Adj.); quick-tempered
la beca	scholarship
el balcón	balcony
el altar	altar
enfrente	in front; opposite, facing
dañar	to damage, harm, injure (d.., not "doler")
el corral	farmyard, yard
aludir	to allude to
la ansiedad	anxiety (not "el ansia")
la revelación	revelation
restringir	to restrict
la programación	programming; schedule, list of programs
afrontar	to face, to confront (a..)
tonto	stupid, silly
calmar	to calm
consagrar	to devote, consecrate
la docena	dozen
entusiasmar	to enthuse, to fill with enthusiasm; to excite
frecuentar	to frequent
la renuncia	resignation; abandonment, renunciation
Holanda	Holland
sistemático	systematic
sumergir	to submerge, plunge, immerse
desembocar	to flow into
el cuaderno	notebook (not "la libreta")
aconsejar	to advise
el ajuste	adjustment
el auditorio	auditorium, audience
equivaler	to be equivalent
Ignacio	Ignacio
la gira	tour, circuit
Julián	Julian
visual	visual
el tigre	tiger
variado	varied
turco	turkish
el milenio	millennium
la manzana	apple; city block
lorenzo	lorenzo
la prioridad	priority
el fósil	fossil
defensivo	defensive
directivo	directive; managerial
el analista	analyst
la ampliación	extension, expansion (not extensión)
la carcajada	laughter (not risa)
estupendo	great, stupendous
el puño	fist
sujetar	to hold, hold on to, hold down; to fasten
mercedes	mercedes
modesto	modest
la jugada	move, play, shot [in sports]; move [in chess]; a dirty trick, dirty play
irregular	irregular
el narrador	narrator
la limpieza	cleanliness
la serpiente	snake (not "la culebra")
sacrificar	to sacrifice
el pretexto	pretext
encaminar	to channel (not "canalizar"), to direct, to guide
la denominación	denomination, designation, name
la agrupación	grouping, arrangement into groups, clustering; ensemble; union
fatal	fatal; awful (familiar); fateful, unavoidable
la planificación	planning
respaldar	to endorse, to back
el socialismo	socialism
la terraza	terrace
la viuda	widow
restar	to subtract
la pesadilla	nightmare
ordenado	tidy, neat, orderly
legítimo	legitimate
la finca	farm (not granja)
la constante	constant
dialogar	to converse, to dialog (not conversar, hablar, or platicar)
aliviar	to relieve, to alleviate
cansar	to tire
el billete	ticket, bill, fare (not boleto or boleta); banknote
la bota	boot
la dosis	dose
narrar	to narrate, to tell, to relate
el ingenio	ingenuity, wit
pendiente	unresolved
quinientos	five hundred
salarial	salary (Adj.)
superficial	superficial
el transcurso	course (of time, progress) (t..)
vasco	basque
la propaganda	propaganda
la innovación	innovation
la lámina	sheet (of material) (not sábana)
gótico	gothic
mineral	mineral
el misil	missile
ecológico	ecologic
frustrar	to frustrate
generoso	generous
el enlace	link (not vínculo); hyperlink
la bebida	drink
el abrazo	hug
el atentado	attack (not ataque)
amargo	bitter
englobar	to encompass, to include, to comprehend, to comprise
la gallina	hen
la ecuación	equation
eficiente	efficient (not eficaz)
el directivo	manager (not gerente)
el militante	activist (not "el activista")
líquido	liquid
el guerrillero	guerrilla
el himno	hymn
el pañuelo	handkerchief
el tambor	drum
la trampa	trap; cheating
la represión	repression
el pianista	pianist
la ilustración	illustration
inicialmente	initially
la librería	bookstore
marta	martha
el diámetro	diameter
energético	energetic (not "enérgico"); energy (Adj.)
la enzima	enzyme
confuso	confused (not confundido)
callado	quiet, silent (c...)
el catálogo	catalog
averiguar	to find out (not "informarse" or "enterarse")
la divisa	currency (not "la moneda")
la mierda	shit
el juzgado	court [of law] (not corte or tribunal)
el refugio	refuge, shelter
el sustantivo	noun
transparente	transparent
samuel	samuel
sabio	wise
plenamente	fully, completely (not completamente)
el incidente	incident (not incidencia or suceso)
el mono	monkey
madrileño	of Madrid
despacio	slowly (d...)
desatar	to untie (not desligar); to trigger, unleash
la gama	range, scale, spectrum (not "el espectro")
el descendiente	descendant
el auxilio	help, assistance (not ayuda or asistencia)
la admiración	admiration
el bordo	side of a ship; tack (change in direction of ship)
noble	noble
hispano	hispanic
la variante	variant
el telescopio	telescope
la vertiente	slope, aspect (not aspecto) (v..)
ocasionar	to cause (not causar)
el lienzo	canvas (surface for an oil painting); painting
el cardenal	cardinal; bruise
claudia	claudia
y	and
la bala	bullet
el demonio	demon
emigrar	to emigrate
el escultor	sculptor
copiar	to copy
anular	to cancel (not "cancelar")
la cirugía	surgery (the subject not place)
la censura	censorship
paralizar	to paralyze
la proximidad	proximity
la talla	size (clothing or person's height, weight) (not "el tamaño" or "el talle")
suscitar	to give rise to
sujeto (a)	subject (to)
el retiro	retirement (not "la jubilación"); withdrawal; seclusion
el pabellón	pavilion, ward
imprescindible	essential (not "esencial")
librar	to free (not liberar)
reanudar	to resume
la sospecha	suspicion
la flora	flora
la facción	faction, feature
la continuidad	continuity
debilitar	to weaken
dieciséis	sixteen
el chiquillo	(small) kid
el compás	time measure (music); pair of compasses (drawing instr.); compass (navigation instr.)
sutil	subtle
mixto	mixed (not "mezclado")
el votante	voter (not elector)
inundar	to flood
la perfección	perfection
la condena	conviction 	(of a crime), sentence (not "la sentencia")
el azar	chance (a..), luck; random occurrence, coincidence
el fundamento	foundation (basis of a theory or belief)
excluir	to exclude
amoroso	loving (not "amador")
orgulloso	proud
el jazz	jazz
jose	joseph
gustavo	gustavo
glaciar	glacial (relating to glaciers)
la magia	magic
tejer	to weave
la transacción	transaction
hondo	deep (not profundo)
la proposición	proposal (not propuesta)
la recomendación	recommendation
clave	key (most important)
enfermo	sick
el encargo	assignment, order (made to)
distraer	to distract
burlar	to outwit, to trick
la puta	whore
parcial	partial
invisible	invisible
el porqué	reason (not razón)
suspirar	to sigh
el soporte	support (not apoyo)
el concilio	council
alentar	to encourage
el tenor	tenor
climático	climatic
creativo	creative
la franja	strip (of land); stripe; fringe
resistente	resistant
el pino	pine
la incertidumbre	uncertainty
el lobo	wolf
la membrana	membrane
navegar	to navigate, sail, cruise surf
fronterizo	border, bordering
el foco	focus (not "el enfoque")
devorar	to devour
el bloqueo	blockade
la agresión	aggression
el timbre	bell (not campana), doorbell
tropezar	to trip up, trip over, stumble
afortunadamente	fortunately
el balance	balance (not equilibrio)
el cráneo	skull
estudioso	studious
móvil	mobile
la licencia	license
el participante	participant
la prohibición	prohibition
vano	vain, conceited
la terapia	therapy
la vacuna	vaccine
protagonizar	to star (in)
protestante	protestant
el pescado	fish (to eat)
la salvación	salvation
la margarita	daisy
el matiz	nuance; hue, shade
el monje	monk
iluminado	lit, illuminated (not "encendido")
Juana	Joan
emocional	emotional
divertido	entertaining (not "entretenido")
diecisiete	seventeen
empeñar	to pawn; to give (one's word)
el arreglo	repair (not "la reparación")
el adjetivo	adjective
el circo	circus
conservador	conservative
el hidrocarburo	hydrocarbon
la migración	migration
el nido	nest
el revolucionario	revolutionary
el reparto	distribution (not distribución)
el periodismo	journalism
rodolfo	rudolf
el mozo	young boy/girl (m.., not "el muchacho"), waiter (S. Cone); mil. conscript (Sp.)
llano	flat, plain (not plano)
la confesión	confession
la ambición	ambition
la antena	antenna
el antepasado	ancestor (not "el ancestro")
asustado	frightened
la corporación	corporation
corporal	corporal, bodily
la ganancia	profit, gain
automático	automatic
anónimo	anonymous
aplaudir	to applaud
el agricultor	farmer (not granjero)
el afecto	affection (a.., not "la afección")
el abandono	abandonment;  desertion
cenar	to have dinner
celeste	celestial (not "celestial")
bautizar	to baptize
la miel	honey
restante	remaining
suministrar	to supply, to provide (not proporcionar or proveer)
compensar	to compensate
el trapo	cloth, rag
el cauce	riverbed; channel (c..)
el boliviano	Bolivian (person)
la atracción	attraction
el auge	boom (economically)
el expediente	file (e..), dossier, record
la eficiencia	efficiency (not "la eficacia")
el monseñor	monsignor
el pilar	pillar
la retirada	retreat
preservar	to preserve
metropolitano	metropolitan
la irregularidad	irregularity
